id;created_at;updated_at;city_code;city_zip_code;city_name;county_code;county_name;region_code;region_name;lat;lon
43;2022-11-14;2022-11-14;01046;01290;Biziat;01;Ain;84;Auvergne-Rhône-Alpes;46.226338767;4.941082276
44;2022-11-14;2022-11-14;01047;01150;Blyes;01;Ain;84;Auvergne-Rhône-Alpes;45.847070433;5.251661374
45;2022-11-14;2022-11-14;01049;01120;La Boisse;01;Ain;84;Auvergne-Rhône-Alpes;45.844628451;5.028332382
46;2022-11-14;2022-11-14;01050;01380;Boissey;01;Ain;84;Auvergne-Rhône-Alpes;46.373043501;4.998844748
47;2022-11-14;2022-11-14;01051;01450;Bolozon;01;Ain;84;Auvergne-Rhône-Alpes;46.196340526;5.470453285
48;2022-11-14;2022-11-14;01052;01330;Bouligneux;01;Ain;84;Auvergne-Rhône-Alpes;46.023044402;4.992313384
49;2022-11-14;2022-11-14;01053;01000;Bourg-en-Bresse;01;Ain;84;Auvergne-Rhône-Alpes;46.205013838;5.245593605
50;2022-11-14;2022-11-14;01054;01800;Bourg-Saint-Christophe;01;Ain;84;Auvergne-Rhône-Alpes;45.886247155;5.143599073
51;2022-11-14;2022-11-14;01056;01640;Boyeux-Saint-Jérôme;01;Ain;84;Auvergne-Rhône-Alpes;46.036053911;5.463119438
52;2022-11-14;2022-11-14;01057;01190;Boz;01;Ain;84;Auvergne-Rhône-Alpes;46.405530214;4.913724
53;2022-11-14;2022-11-14;01058;01300;Brégnier-Cordon;01;Ain;84;Auvergne-Rhône-Alpes;45.641317771;5.616806128
54;2022-11-14;2022-11-14;01060;01110;Brénod;01;Ain;84;Auvergne-Rhône-Alpes;46.075616229;5.614402984
55;2022-11-14;2022-11-14;01061;01300;Brens;01;Ain;84;Auvergne-Rhône-Alpes;45.713937941;5.689263883
56;2022-11-14;2022-11-14;01062;01360;Bressolles;01;Ain;84;Auvergne-Rhône-Alpes;45.86942733;5.101495053
57;2022-11-14;2022-11-14;01063;01460;Brion;01;Ain;84;Auvergne-Rhône-Alpes;46.168166789;5.546506151
